"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Lysergide [LSD]"	"T40.8"	"Apr., 2015"	"2015/04"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"May, 2015"	"2015/05"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jul., 2015"	"2015/07"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Sep., 2015"	"2015/09"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Oct., 2015"	"2015/10"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Nov., 2015"	"2015/11"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jan., 2016"	"2016/01"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Feb., 2016"	"2016/02"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Mar., 2016"	"2016/03"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Apr., 2016"	"2016/04"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"May, 2016"	"2016/05"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jun., 2016"	"2016/06"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Aug., 2016"	"2016/08"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Oct., 2016"	"2016/10"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Dec., 2016"	"2016/12"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jan., 2017"	"2017/01"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Feb., 2017"	"2017/02"	2	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Mar., 2017"	"2017/03"	2	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Apr., 2017"	"2017/04"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"May, 2017"	"2017/05"	4	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jun., 2017"	"2017/06"	3	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jul., 2017"	"2017/07"	3	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Aug., 2017"	"2017/08"	2	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Sep., 2017"	"2017/09"	3	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Oct., 2017"	"2017/10"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Nov., 2017"	"2017/11"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Lysergide [LSD]"	"T40.8"			38	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Mar., 2014"	"2014/03"	3	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Apr., 2014"	"2014/04"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jul., 2014"	"2014/07"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Aug., 2014"	"2014/08"	3	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Sep., 2014"	"2014/09"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Oct., 2014"	"2014/10"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Nov., 2014"	"2014/11"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Dec., 2014"	"2014/12"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jan., 2015"	"2015/01"	4	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Mar., 2015"	"2015/03"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Apr., 2015"	"2015/04"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"May, 2015"	"2015/05"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jul., 2015"	"2015/07"	3	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Sep., 2015"	"2015/09"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Oct., 2015"	"2015/10"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Nov., 2015"	"2015/11"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jan., 2016"	"2016/01"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Feb., 2016"	"2016/02"	3	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Apr., 2016"	"2016/04"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"May, 2016"	"2016/05"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jun., 2016"	"2016/06"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jul., 2016"	"2016/07"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Aug., 2016"	"2016/08"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Sep., 2016"	"2016/09"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Oct., 2016"	"2016/10"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Nov., 2016"	"2016/11"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Dec., 2016"	"2016/12"	3	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jan., 2017"	"2017/01"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Feb., 2017"	"2017/02"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Mar., 2017"	"2017/03"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Apr., 2017"	"2017/04"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Jul., 2017"	"2017/07"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Aug., 2017"	"2017/08"	0	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Sep., 2017"	"2017/09"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Oct., 2017"	"2017/10"	1	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Nov., 2017"	"2017/11"	2	Not Applicable	Not Applicable
	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"	"Dec., 2017"	"2017/12"	1	Not Applicable	Not Applicable
"Total"	"Other and unspecified psychodysleptics [hallucinogens]"	"T40.9"			57	Not Applicable	Not Applicable
"Total"					267009	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"MCD - ICD-10 Codes: F11.0 (Mental and behavioural disorders due to use of opioids, acute intoxication); F11.1 (Mental and"
"behavioural disorders due to use of opioids, harmful use); F11.2 (Mental and behavioural disorders due to use of opioids,"
"dependence syndrome); F11.3 (Mental and behavioural disorders due to use of opioids, withdrawal state); F11.4 (Mental and"
"behavioural disorders due to use of opioids, withdrawal state with delirium); F11.5 (Mental and behavioural disorders due to use"
"of opioids, psychotic disorder); F11.6 (Mental and behavioural disorders due to use of opioids, amnesic syndrome); F11.7 (Mental"
"and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder); F11.8 (Mental and behavioural"
"disorders due to use of opioids, other mental and behavioural disorders); F11.9 (Mental and behavioural disorders due to use of"
"opioids, unspecified mental and behavioural disorder); T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone);"
"T40.4 (Other synthetic narcotics); T40.5 (Cocaine); T40.6 (Other and unspecified narcotics); T40.7 (Cannabis (derivatives));"
"T40.8 (Lysergide [LSD]); T40.9 (Other and unspecified psychodysleptics [hallucinogens])"
"Year/Month: 2014; 2015; 2016; 2017"
"Group By: Multiple Cause of death; Month"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Oct 11, 2019 5:03:56 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Oct 11, 2019 5:03:56 AM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"4. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
